Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
477,Casemiro,br BRA,MF,Real Madrid,es La Liga,29,1992,28.5,79,51,45,30,4,30,67,44.8,37,65,19,46,38,117,65,3,Matches,4d224fe8
478,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,23,1997,37.5,89,50,52,34,3,47,78,60.3,31,54,16,38,49,138,100,2,Matches,2389cdc2
479,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,2,Matches,58bc7d18
480,Moreto Cassamã,gw GNB,MF,Reims,fr Ligue 1,23,1998,8.9,12,6,7,4,1,3,19,15.8,16,10,5,5,9,21,5,0,Matches,f54d2149
481,Francesco Cassata,it ITA,MF,Genoa,it Serie A,24,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,96960855
482,Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,25,1995,23.6,67,31,38,22,7,27,43,62.8,16,28,9,19,29,96,54,1,Matches,197640fd
483,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,2,Matches,db401046
484,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,26,1995,27.9,45,24,27,17,1,25,35,71.4,10,38,27,11,30,75,73,0,Matches,e0f3a1f6
485,Samu Castillejo,es ESP,MF,Milan,it Serie A,26,1995,1.4,4,2,0,2,2,1,8,12.5,7,4,1,3,2,6,1,0,Matches,130a7a3f
486,Gonzalo Castro,de GER,MFFW,Arminia,de Bundesliga,34,1987,4.8,8,3,4,4,0,1,5,20.0,4,3,0,3,3,11,3,0,Matches,68829001
487,Jonny Castro,es ESP,DF,Wolves,eng Premier League,27,1994,11.4,25,15,13,11,1,11,20,55.0,9,14,3,11,13,38,11,0,Matches,e28868f3
488,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,24,1997,15.5,25,17,15,6,4,12,23,52.2,11,18,4,14,11,36,6,0,Matches,0728bebe
489,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,26,1994,19.0,36,17,15,17,4,12,38,31.6,26,24,12,12,17,53,19,1,Matches,ba3d3bea
490,Catena,es ESP,DF,Rayo Vallecano,es La Liga,26,1994,36.0,39,23,24,15,0,25,42,59.5,17,26,19,7,30,69,168,3,Matches,274ab13c
491,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,32,1989,26.6,32,15,25,6,1,16,30,53.3,14,39,29,10,28,60,132,3,Matches,89e4b358
492,Edinson Cavani,uy URU,FW,Manchester Utd,eng Premier League,34,1987,8.5,4,1,0,3,1,2,8,25.0,6,6,0,6,2,6,8,0,Matches,527f063d
493,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,24,1996,3.1,7,5,4,3,0,1,5,20.0,4,8,2,6,4,11,2,0,Matches,c0617e2b
494,Pietro Ceccaroni,it ITA,DF,Venezia,it Serie A,25,1995,34.7,55,31,33,18,4,25,36,69.4,11,45,32,13,30,85,143,0,Matches,4d1efb48
495,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,29,1992,26.2,32,16,19,10,3,19,33,57.6,14,13,8,5,50,82,76,1,Matches,d9624b51
496,Emil Ceide,no NOR,MFFW,Sassuolo,it Serie A,19,2001,0.6,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches,98a84572
497,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,24,1997,30.0,64,37,43,17,4,36,63,57.1,27,32,9,23,43,107,62,2,Matches,31a62dc7
498,Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,25,1996,17.6,33,21,22,9,2,13,32,40.6,19,37,8,29,32,65,51,0,Matches,3c6bbbab
499,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,31,1989,16.1,23,12,13,10,0,16,27,59.3,11,21,14,7,25,48,54,0,Matches,7d50454d
500,Franco Cervi,ar ARG,MF,Celta Vigo,es La Liga,27,1994,20.0,73,41,35,22,16,33,77,42.9,44,38,2,36,21,94,19,0,Matches,5e1028e5
501,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,26,1995,17.0,,0,,,,,,,,,,,1,,,,Matches,f5dfc256
502,Damir Ceter,co COL,FW,Cagliari,it Serie A,23,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,eade5337
503,Julian Chabot,de GER,DF,Sampdoria,it Serie A,23,1998,5.4,12,10,8,4,0,8,10,80.0,2,7,4,3,9,21,28,1,Matches,ae7058f9
504,Julian Chabot,de GER,DF,Köln,de Bundesliga,23,1998,2.3,8,3,4,4,0,2,5,40.0,3,4,2,2,3,11,5,1,Matches,ae7058f9
505,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,2180c761
506,Nassim Chadli,fr FRA,MFDF,Troyes,fr Ligue 1,20,2001,1.1,5,3,3,0,2,2,4,50.0,2,1,0,1,0,5,0,0,Matches,5c61496e
507,Kayky Chagas,br BRA,FW,Manchester City,eng Premier League,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,17734ea0
508,Mehdi Chahiri,ma MAR,DF,Strasbourg,fr Ligue 1,25,1996,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,1787195f
509,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,22,1999,16.1,40,27,22,18,0,24,31,77.4,7,16,6,10,19,59,43,2,Matches,5515376c
510,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,26,1995,1.9,5,3,3,1,1,3,4,75.0,1,6,3,3,0,5,10,0,Matches,dc6f5bdd
511,Calum Chambers,eng ENG,DF,Aston Villa,eng Premier League,26,1995,9.2,16,8,10,6,0,4,6,66.7,2,14,8,6,5,21,42,0,Matches,dc6f5bdd
512,Dylan Chambost,fr FRA,MFFW,Troyes,fr Ligue 1,23,1997,8.4,16,11,6,9,1,4,25,16.0,21,9,2,7,9,25,4,0,Matches,dbde4959
513,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,31,1990,13.5,18,12,10,8,0,11,24,45.8,13,10,3,7,19,37,28,1,Matches,b3b7f5a6
514,Chapela,es ESP,MF,Cádiz,es La Liga,22,1999,4.4,4,2,1,0,3,2,4,50.0,2,6,1,5,4,8,5,0,Matches,9ed40a69
515,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,26,1994,29.8,44,25,32,11,1,29,40,72.5,11,42,29,13,55,99,141,0,Matches,16aa7d4c
516,Xavier Chavalerin,fr FRA,MF,Troyes,fr Ligue 1,30,1991,30.2,49,26,19,25,5,12,55,21.8,43,32,5,27,38,87,36,0,Matches,279ddf6a
517,Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,30,1991,2.4,4,4,2,1,1,1,3,33.3,2,2,0,2,5,9,2,1,Matches,279ddf6a
518,Justin Che,us USA,FWDF,Hoffenheim,de Bundesliga,17,2003,0.5,2,0,1,0,1,1,2,50.0,1,0,0,0,1,3,0,0,Matches,3c569f37
519,Chema,es ESP,MF,Getafe,es La Liga,29,1992,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,7f203b54
520,Rayan Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,17,2003,4.9,6,2,1,3,2,4,9,44.4,5,2,0,2,1,7,0,0,Matches,b34c63a5
521,Denis Cheryshev,ru RUS,MF,Valencia,es La Liga,30,1990,6.3,14,5,6,1,7,6,15,40.0,9,9,1,8,9,23,9,0,Matches,0ac94a23
522,Daniel Chesters,eng ENG,MF,West Ham,eng Premier League,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,240c8ab6
523,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,36,1984,15.0,22,13,17,4,1,7,13,53.8,6,24,18,6,22,44,59,0,Matches,e85fb9b8
524,Federico Chiesa,it ITA,MFFW,Juventus,it Serie A,23,1997,9.6,26,19,9,9,8,12,26,46.2,14,7,0,7,4,30,3,0,Matches,b0f7e36c
525,Ben Chilwell,eng ENG,DF,Chelsea,eng Premier League,24,1996,6.0,8,3,2,6,0,2,5,40.0,3,7,0,7,4,12,14,1,Matches,d2424d1b
526,Chiquinho,pt POR,DFFW,Wolves,eng Premier League,21,2000,2.3,9,6,4,5,0,4,5,80.0,1,5,0,5,2,11,1,0,Matches,dc6c2f02
527,Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,31,1989,25.6,28,15,19,9,0,10,21,47.6,11,34,21,13,41,69,71,4,Matches,c316607a
528,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,24,1997,29.3,49,31,14,26,9,25,70,35.7,45,23,2,21,37,86,11,0,Matches,68a26d51
529,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,19,2001,32.6,59,30,33,23,3,36,78,46.2,42,27,15,12,42,101,56,0,Matches,7909ffa4
530,Hamza Choudhury,eng ENG,DFMF,Leicester City,eng Premier League,23,1997,3.2,9,3,4,4,1,3,5,60.0,2,0,0,0,12,21,10,0,Matches,7d2d3329
531,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,25,1996,16.6,14,8,9,4,1,4,7,57.1,3,14,6,8,29,43,57,1,Matches,1cb49278
532,Max Christiansen,de GER,MF,Greuther Fürth,de Bundesliga,24,1996,22.8,46,25,19,22,5,18,43,41.9,25,52,16,36,68,114,56,0,Matches,e7b899b8
533,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,eng Premier League,17,2003,3.3,7,1,2,5,0,3,5,60.0,2,3,0,3,2,9,2,1,Matches,b2f9c73e
534,Samuel Chukwueze,ng NGA,MF,Villarreal,es La Liga,22,1999,14.8,13,9,6,5,2,3,6,50.0,3,7,0,7,5,18,4,0,Matches,b8a642fc
535,Víctor Chust,es ESP,DF,Cádiz,es La Liga,21,2000,20.3,19,10,14,4,1,11,17,64.7,6,20,8,12,16,35,87,0,Matches,ec1a731e
536,Riccardo Ciervo,it ITA,MFDF,Sampdoria,it Serie A,19,2002,2.5,8,3,4,3,1,2,6,33.3,4,1,0,1,2,10,2,0,Matches,da77b60b
537,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,16.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,0,Matches,04ac8285
538,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,27,1994,12.2,31,15,20,8,3,12,26,46.2,14,16,6,10,30,61,27,0,Matches,9a0408b6
539,Moustapha Cissé,gn GUI,FW,Atalanta,it Serie A,17,2003,0.4,1,0,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,Matches,ee3c4b3f
540,Giorgio Cittadini,it ITA,DF,Atalanta,it Serie A,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,e4ba67f2
541,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,31,1989,11.3,13,10,4,7,2,9,14,64.3,5,14,11,3,13,26,43,1,Matches,2b91cf8e
542,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,23,1998,2.3,2,0,1,0,1,1,4,25.0,3,7,0,7,3,5,1,0,Matches,741418c3
543,Jonathan Clauss,fr FRA,DF,Lens,fr Ligue 1,28,1992,33.8,63,34,33,20,10,23,56,41.1,33,43,1,42,73,136,51,0,Matches,5219ab4a
544,Carlos Clerc,es ESP,DF,Levante,es La Liga,29,1992,16.8,35,17,21,10,4,7,19,36.8,12,8,3,5,26,61,32,1,Matches,33a61a52
545,Tom Cleverley,eng ENG,MF,Watford,eng Premier League,31,1989,18.0,37,20,19,17,1,18,33,54.5,15,23,6,17,18,55,19,3,Matches,6cdd8245
546,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,30,1991,15.0,21,10,11,9,1,10,20,50.0,10,7,2,5,15,36,32,0,Matches,0442183b
547,Conor Coady,eng ENG,DF,Wolves,eng Premier League,28,1993,37.3,31,14,23,7,1,16,28,57.1,12,46,40,6,28,59,140,0,Matches,2928dca2
548,Marcus Coco,fr FRA,MFDF,Nantes,fr Ligue 1,25,1996,10.3,34,14,17,11,6,8,18,44.4,10,11,1,10,10,44,15,0,Matches,3010aefb
549,Coke,es ESP,DF,Levante,es La Liga,34,1987,1.3,3,2,1,1,1,3,4,75.0,1,1,0,1,2,5,7,0,Matches,6d8f8441
550,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,32,1988,29.5,61,36,35,16,10,33,51,64.7,18,30,11,19,32,93,80,2,Matches,0420d84f
551,Álex Collado,es ESP,MFFW,Granada,es La Liga,22,1999,11.3,27,12,6,16,5,12,31,38.7,19,28,2,26,6,33,11,0,Matches,85dace26
552,Ebrima Colley,gm GAM,FWMF,Spezia,it Serie A,21,2000,4.4,6,1,3,2,1,1,7,14.3,6,8,0,8,3,9,2,0,Matches,bf356094
553,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,28,1992,30.5,47,36,32,14,1,22,32,68.8,10,31,19,12,80,127,135,2,Matches,8b95acda
554,Nathan Collins,ie IRL,DF,Burnley,eng Premier League,20,2001,18.6,37,15,27,8,2,17,27,63.0,10,38,25,13,24,61,83,2,Matches,a8c19eb8
555,Kingsley Coman,fr FRA,MFFW,Bayern Munich,de Bundesliga,25,1996,15.1,14,8,1,9,4,5,16,31.3,11,14,0,14,8,22,5,0,Matches,042e8a49
556,Eray Cömert,ch SUI,DF,Valencia,es La Liga,23,1998,4.5,5,3,4,1,0,3,6,50.0,3,3,2,1,2,7,6,0,Matches,15937e17
557,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,24,1996,29.8,87,56,45,33,9,40,104,38.5,64,46,6,40,33,120,30,0,Matches,5ae499d0
558,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,4eae5bc4
559,Aaron Connolly,ie IRL,FWMF,Brighton,eng Premier League,21,2000,1.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches,27c01749
560,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,36.9,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,23,3,Matches,8cabdc1e
561,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,23,1998,15.0,22,12,16,5,1,12,24,50.0,12,12,2,10,4,26,10,0,Matches,cfa49cc1
562,Andrea Conti,it ITA,DFMF,Sampdoria,it Serie A,27,1994,2.6,4,2,2,1,1,3,6,50.0,3,4,0,4,7,11,4,0,Matches,8fef5412
563,Andrea Conti,it ITA,DF,Milan,it Serie A,27,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,8fef5412
564,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,29,1991,20.2,41,23,27,13,1,23,33,69.7,10,29,18,11,43,84,72,2,Matches,dc64b8b3
565,Lucas Copado,de GER,MF,Bayern Munich,de Bundesliga,17,2004,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,8356931a
566,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,17,2003,2.8,8,4,4,4,0,3,3,100.0,0,5,1,4,4,12,5,0,Matches,22ae86f9
567,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,30,1991,9.2,26,17,9,11,6,11,20,55.0,9,15,5,10,19,45,11,0,Matches,a6951bf8
568,Sébastien Corchia,fr FRA,DFMF,Nantes,fr Ligue 1,30,1990,14.7,33,20,17,11,5,24,42,57.1,18,24,3,21,13,46,36,0,Matches,0e7ccfc4
569,Sergio Córdova,ve VEN,FWMF,Augsburg,de Bundesliga,23,1997,3.6,4,3,2,2,0,1,2,50.0,1,4,0,4,0,4,4,0,Matches,229cd98a
570,Jack Cork,eng ENG,MF,Burnley,eng Premier League,32,1989,18.6,20,6,6,11,3,7,20,35.0,13,17,4,13,17,37,29,1,Matches,74e12f1e
571,Maxwel Cornet,ci CIV,FWMF,Burnley,eng Premier League,24,1996,19.6,16,9,7,5,4,7,15,46.7,8,13,4,9,10,26,14,0,Matches,beb391dd
572,Maxwel Cornet,ci CIV,DF,Lyon,fr Ligue 1,24,1996,0.7,3,1,1,0,2,3,4,75.0,1,0,0,0,1,4,1,0,Matches,beb391dd
573,Jesús Corona,mx MEX,FWMF,Sevilla,es La Liga,28,1993,12.9,12,7,7,5,0,3,6,50.0,3,4,0,4,8,20,6,0,Matches,fb938d24
574,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,26,1995,20.6,16,8,5,10,1,7,29,24.1,22,25,2,23,10,26,4,0,Matches,01eb744d
575,Joaquín Correa,ar ARG,FW,Inter,it Serie A,26,1994,11.4,11,5,2,6,3,1,13,7.7,12,8,1,7,3,14,2,0,Matches,45b9b619
576,Thierry Correia,pt POR,DF,Valencia,es La Liga,22,1999,15.7,35,23,26,6,3,14,29,48.3,15,20,5,15,19,54,27,0,Matches,c78b352d
577,Danny da Costa,de GER,DFMF,Eint Frankfurt,de Bundesliga,28,1993,8.1,15,4,6,7,2,6,18,33.3,12,14,1,13,11,26,18,1,Matches,5ddb8f9f
578,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,20,2001,16.3,22,12,9,6,7,11,26,42.3,15,12,0,12,13,35,5,0,Matches,59948ef7
579,Hélder Costa,ao ANG,MF,Leeds United,eng Premier League,27,1994,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,f13d02a6
580,Hélder Costa,ao ANG,MFFW,Valencia,es La Liga,27,1994,12.4,27,16,11,9,7,14,41,34.1,27,12,1,11,3,30,9,0,Matches,f13d02a6
581,Jaume Costa,es ESP,DF,Mallorca,es La Liga,33,1988,20.3,35,26,23,7,5,23,31,74.2,8,22,7,15,23,58,55,0,Matches,808d48f3
582,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,6,3,Matches,2434f24a
583,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,28,1992,24.5,45,25,24,14,7,18,36,50.0,18,31,9,22,22,67,64,1,Matches,fdf3cb77
584,Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,29,1991,9.4,5,1,1,1,3,0,4,0.0,4,2,2,0,0,5,11,0,Matches,9980269a
585,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,25,1996,25.9,58,32,29,26,3,24,62,38.7,38,40,13,27,22,80,27,0,Matches,85a44ecc
586,Mamadou Coulibaly,sn SEN,MF,Salernitana,it Serie A,22,1999,9.0,15,12,8,5,2,7,20,35.0,13,9,0,9,11,26,9,0,Matches,c976160c
587,Tanguy Coulibaly,fr FRA,FWMF,Stuttgart,de Bundesliga,20,2001,12.0,27,15,14,11,2,9,19,47.4,10,14,2,12,4,31,10,0,Matches,05ba9d7c
588,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,9,1,Matches,1840e36d
589,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,29,1992,14.8,17,12,4,11,2,6,21,28.6,15,11,1,10,7,24,4,0,Matches,0ef89a37
590,Philippe Coutinho,br BRA,MFFW,Barcelona,es La Liga,29,1992,5.6,6,3,3,3,0,3,11,27.3,8,3,0,3,4,10,3,0,Matches,0ef89a37
591,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,22,1999,30.8,80,47,50,23,7,35,65,53.8,30,35,19,16,38,118,82,1,Matches,8f325097
592,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35.0,3,3,2,1,0,3,3,100.0,0,0,0,0,1,4,14,1,Matches,f554e29b
593,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,31,1989,30.3,28,18,18,6,4,13,25,52.0,12,31,18,13,35,63,66,0,Matches,4f974391
594,Charlie Cresswell,eng ENG,DF,Leeds United,eng Premier League,18,2002,1.6,5,2,1,4,0,3,3,100.0,0,1,1,0,2,7,6,0,Matches,4654e5f5
595,Domenico Criscito,it ITA,DF,Genoa,it Serie A,34,1986,18.0,37,21,19,14,4,16,25,64.0,9,22,12,10,39,76,57,0,Matches,35dd6d80
596,Bryan Cristante,it ITA,MF,Roma,it Serie A,26,1995,29.8,79,39,31,39,9,37,69,53.6,32,31,5,26,40,119,45,0,Matches,16657b95
597,Cristo,es ESP,DF,Real Sociedad,es La Liga,21,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ad81ba78
598,Enzo Crivelli,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,26,1995,1.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches,06f33dc8
599,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,25,1995,20.9,21,13,7,11,3,11,29,37.9,18,27,8,19,24,45,42,0,Matches,22cd43d2
600,Giovanni Crociata,it ITA,FW,Empoli,it Serie A,23,1997,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,8c964914
601,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,29,1992,21.5,28,21,15,12,1,8,16,50.0,8,15,12,3,16,44,58,1,Matches,a56da3ba
602,Juan Cuadrado,co COL,DFMF,Juventus,it Serie A,33,1988,27.6,48,23,30,13,5,30,55,54.5,25,23,5,18,29,77,34,0,Matches,0ab1f153
603,Cucho,co COL,MFFW,Watford,eng Premier League,22,1999,12.7,13,5,5,5,3,5,27,18.5,22,13,1,12,5,18,9,0,Matches,71b47ab9
604,Marc Cucurella,es ESP,DF,Brighton,eng Premier League,23,1998,34.3,93,62,43,32,18,44,71,62.0,27,42,14,28,30,123,74,0,Matches,1daec722
605,Marc Cucurella,es ESP,MFDF,Getafe,es La Liga,23,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,1daec722
606,Jorge Cuenca,es ESP,DF,Getafe,es La Liga,21,1999,29.8,46,32,30,15,1,21,28,75.0,7,29,14,15,39,85,155,0,Matches,0abc51f2
607,Mickaël Cuisance,fr FRA,MF,Venezia,it Serie A,21,1999,10.2,23,9,7,12,4,10,28,35.7,18,14,0,14,12,35,5,0,Matches,5722eced
608,Mickaël Cuisance,fr FRA,MF,Bayern Munich,de Bundesliga,21,1999,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,5722eced
609,Luke Cundle,eng ENG,MF,Wolves,eng Premier League,19,2002,2.0,4,3,0,4,0,1,1,100.0,0,0,0,0,1,5,1,0,Matches,cc3b8e78
610,Matheus Cunha,br BRA,FW,Atlético Madrid,es La Liga,22,1999,11.8,19,12,3,11,5,5,20,25.0,15,18,2,16,6,25,9,0,Matches,dc62b55d
611,Matheus Cunha,br BRA,FW,Hertha BSC,de Bundesliga,22,1999,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,dc62b55d
612,Patrick Cutrone,it ITA,FW,Empoli,it Serie A,23,1998,15.6,5,2,0,3,2,1,9,11.1,8,11,1,10,5,10,1,0,Matches,a4fe8cda
613,Wylan Cyprien,fr FRA,MF,Nantes,fr Ligue 1,26,1995,16.6,33,17,12,18,3,13,32,40.6,19,16,6,10,10,43,14,2,Matches,3e092724
614,Rafael Czichos,de GER,DF,Köln,de Bundesliga,31,1990,15.6,29,18,18,9,2,14,28,50.0,14,23,13,10,19,48,53,2,Matches,b0a0698b
615,Lennart-Marten Czyborra,de GER,DF,Arminia,de Bundesliga,22,1999,1.5,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,3,1,Matches,7ba1f1ef
616,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,32,1988,11.1,30,15,21,8,1,11,22,50.0,11,21,10,11,8,38,20,0,Matches,44eb9093
617,Lucas Da Cunha,fr FRA,MF,Nice,fr Ligue 1,20,2001,4.4,13,7,2,7,4,6,11,54.5,5,2,0,2,1,14,2,0,Matches,007faf7a
618,Lucas Da Cunha,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20,2001,9.3,17,11,5,8,4,9,18,50.0,9,13,0,13,1,18,3,0,Matches,007faf7a
619,Damien Da Silva,fr FRA,DF,Lyon,fr Ligue 1,33,1988,12.5,13,9,7,5,1,5,9,55.6,4,15,10,5,22,35,53,1,Matches,1ec7e1c5
620,Moanes Dabbur,il ISR,FWMF,Hoffenheim,de Bundesliga,29,1992,14.6,17,9,3,5,9,4,17,23.5,13,10,0,10,5,22,4,0,Matches,eac044ad
621,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,22,1998,1.8,4,2,2,2,0,3,6,50.0,3,4,2,2,2,6,1,0,Matches,29c02c9f
622,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,dee3013b
623,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,25,1996,18.4,42,19,10,24,8,20,46,43.5,26,18,3,15,17,59,16,0,Matches,db4ed67b
624,Patson Daka,zm ZAM,FW,Leicester City,eng Premier League,22,1998,12.9,15,10,2,8,5,2,19,10.5,17,7,0,7,2,17,8,0,Matches,ca45605e
625,Stuart Dallas,nir NIR,DFMF,Leeds United,eng Premier League,30,1991,32.4,93,55,58,31,4,56,105,53.3,49,45,14,31,57,150,63,2,Matches,67ca8566
626,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,22,1999,20.0,55,41,35,12,8,31,57,54.4,26,24,13,11,29,84,59,0,Matches,d9565625
627,Mikkel Damsgaard,dk DEN,MF,Sampdoria,it Serie A,21,2000,6.4,27,13,12,11,4,20,36,55.6,16,16,1,15,7,34,7,0,Matches,215f3907
628,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,20,2001,14.4,46,31,26,17,3,34,43,79.1,9,13,7,6,14,60,34,1,Matches,7ef972c3
629,Danilo,br BRA,DFMF,Juventus,it Serie A,30,1991,21.0,37,26,20,13,4,18,28,64.3,10,21,12,9,32,69,53,1,Matches,94b2001f
630,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,22,1998,31.0,41,29,29,12,0,23,34,67.6,11,38,25,13,40,81,111,0,Matches,6e33125f
631,Dante,br BRA,DF,Nice,fr Ligue 1,37,1983,31.9,42,29,30,12,0,23,33,69.7,10,43,27,16,49,91,96,1,Matches,fd2bc67d
632,Ebrima Darboe,gm GAM,MF,Roma,it Serie A,20,2001,0.7,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,1,Matches,cf043a33
633,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,19,2002,8.4,10,4,8,2,0,8,18,44.4,10,16,6,10,20,30,33,2,Matches,41bff4fa
634,Sergi Darder,es ESP,MF,Espanyol,es La Liga,27,1993,34.7,45,22,16,19,10,18,54,33.3,36,16,1,15,26,71,32,1,Matches,070a3904
635,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30,1990,19.8,32,18,15,13,4,13,32,40.6,19,22,3,19,20,52,17,2,Matches,3eb0f2df
636,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,Matches,cde3309f
637,Matteo Darmian,it ITA,DF,Inter,it Serie A,31,1989,16.7,32,16,17,9,6,16,41,39.0,25,16,1,15,19,51,25,0,Matches,96e0490d
